Order_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Supplier_ID,Supplier_Name,Supplier_City,Supplier_State,Product_ID,Product_Name,Category,Warehouse,Shipping_Mode,Quantity,Unit_Cost_INR,Total_Cost_INR,Freight_Cost_INR,Discount_Pct,Final_Cost_INR,Lead_Time_Days,Delay_Days,Order_Status,Payment_Terms,Quality_Rating
ORD-2024-0098,2024-01-04,2024-01-05,2024-01-05,SUP004,BlueDart Express,Bangalore,India,P005,Copper Wiring,Electronics,WH-Delhi,Air,14,925.05,12950.63,1036.05,0,13986.68,1,0,Delivered,COD,4.1
ORD-2024-0022,2024-01-05,2024-01-18,2024-01-24,SUP008,VRL Logistics,Nagpur,India,P010,LED Modules,Electronics,WH-Delhi,Sea,5,736.65,3683.27,55.25,8,3443.86,13,6,Delayed,Net 60,
ORD-2024-0061,2024-01-11,2024-01-17,,SUP005,Mahindra Logistics,Pune,India,P010,LED Modules,Electronics,WH-Bangalore,Road,9,614.49,5530.43,165.91,2,5585.73,6,0,In Transit,Net 30,
ORD-2024-0035,2024-01-13,2024-01-29,,SUP001,Tata Steel Ltd,Mumbai,India,P004,Plastic Granules,Raw Material,WH-Bangalore,Sea,37,303.55,11231.53,168.47,5,10838.42,16,0,Pending,Advance,
ORD-2024-0002,2024-01-16,2024-01-19,,SUP002,Reliance Logistics,Delhi,India,P004,Plastic Granules,Raw Material,WH-Bangalore,Road,42,344.11,14452.45,433.57,2,14596.97,3,0,Pending,COD,
ORD-2024-0088,2024-01-16,2024-01-24,2024-01-24,SUP001,Tata Steel Ltd,Mumbai,India,P008,Chemical Compounds,Chemicals,WH-Pune,Rail,3,1649.56,4948.67,98.97,0,5047.64,8,0,Delivered,COD,4.4
ORD-2024-0063,2024-01-19,2024-01-22,,SUP008,VRL Logistics,Nagpur,India,P002,Industrial Bearings,Machinery,WH-Bangalore,Road,1,1277.3,1277.3,38.32,2,1290.07,3,0,Cancelled,Net 30,
ORD-2024-0082,2024-01-24,2024-02-11,2024-02-11,SUP001,Tata Steel Ltd,Mumbai,India,P005,Copper Wiring,Electronics,WH-Delhi,Sea,18,984.69,17724.35,265.87,5,17104.0,18,0,Delivered,Advance,4.3
ORD-2024-0012,2024-01-30,2024-01-31,,SUP004,BlueDart Express,Bangalore,India,P010,LED Modules,Electronics,WH-Pune,Air,5,605.86,3029.32,242.35,2,3211.08,1,0,Cancelled,Net 45,
ORD-2024-0186,2024-02-02,2024-02-08,2024-02-08,SUP003,DHL Supply Chain,Chennai,India,P007,Packaging Material,Consumables,WH-Mumbai,Road,64,157.27,10065.14,301.95,0,10367.09,6,0,Delivered,Net 45,3.6
ORD-2024-0119,2024-02-04,2024-02-05,,SUP001,Tata Steel Ltd,Mumbai,India,P007,Packaging Material,Consumables,WH-Delhi,Air,3,148.39,445.17,35.61,0,480.78,1,0,Pending,Net 30,
ORD-2024-0136,2024-02-07,2024-02-13,2024-02-17,SUP001,Tata Steel Ltd,Mumbai,India,P003,Raw Steel Sheets,Raw Material,WH-Chennai,Road,11,501.92,5521.09,165.63,0,5686.72,6,4,Delayed,Advance,
ORD-2024-0026,2024-02-08,2024-02-15,,SUP003,DHL Supply Chain,Chennai,India,P009,Spare Parts Kit,Machinery,WH-Mumbai,Road,2,2913.46,5826.93,174.81,0,6001.74,7,0,In Transit,Net 60,
